,Company,Ticker,ticker
0,Activision Blizzard,ATVI,ATVI
1,Adobe Inc.,ADBE,ADBE
2,Advanced Micro Devices,AMD,AMD
3,Alexion Pharmaceuticals,ALXN,ALXN
4,"Align Technology, Inc.",ALGN,ALGN
5,Alphabet Inc. (Class A),GOOGL,GOOGL
6,Alphabet Inc. (Class C),GOOG,GOOG
7,Amazon.com,AMZN,AMZN
8,Amgen Inc.,AMGN,AMGN
9,Analog Devices,ADI,ADI
10,ANSYS,ANSS,ANSS
11,Apple Inc.,AAPL,AAPL
12,"Applied Materials, Inc.",AMAT,AMAT
13,ASML Holding,ASML,ASML
14,"Autodesk, Inc.",ADSK,ADSK
15,"Automatic Data Processing, Inc.",ADP,ADP
16,"Baidu.com, Inc.",BIDU,BIDU
17,"Biogen, Inc",BIIB,BIIB
18,"BioMarin Pharmaceutical, Inc.",BMRN,BMRN
19,Booking Holdings,BKNG,BKNG
20,Broadcom Inc.,AVGO,AVGO
21,Cadence Design Systems,CDNS,CDNS
22,CDW,CDW,CDW
23,Cerner Corporation,CERN,CERN
24,"Charter Communications, Inc.",CHTR,CHTR
25,Check Point Software Technologies Ltd.,CHKP,CHKP
26,Cintas Corporation,CTAS,CTAS
27,Cisco Systems,CSCO,CSCO
28,Citrix Systems,CTXS,CTXS
29,Cognizant Technology Solutions Corporation,CTSH,CTSH
30,Comcast Corporation,CMCSA,CMCSA
31,Copart,CPRT,CPRT
32,CoStar Group,CSGP,CSGP
33,Costco Wholesale Corporation,COST,COST
34,CSX Corporation,CSX,CSX
35,Dexcom,DXCM,DXCM
36,"Dollar Tree, Inc.",DLTR,DLTR
37,eBay Inc.,EBAY,EBAY
38,Electronic Arts,EA,EA
39,Exelon Corporation,EXC,EXC
40,Expedia Group,EXPE,EXPE
41,"Facebook, Inc.",FB,FB
42,Fastenal Company,FAST,FAST
43,"Fiserv, Inc.",FISV,FISV
44,Fox Corporation (Class A),FOXA,FOXA
45,Fox Corporation (Class B),FOX,FOX
46,"Gilead Sciences, Inc.",GILD,GILD
47,IDEXX Laboratories,IDXX,IDXX
48,"Illumina, Inc.",ILMN,ILMN
49,Incyte Corporation,INCY,INCY
50,Intel Corporation,INTC,INTC
51,"Intuit, Inc.",INTU,INTU
52,Intuitive Surgical Inc.,ISRG,ISRG
53,JD.com,JD,JD
54,KLA Corporation,KLAC,KLAC
55,Kraft Heinz,KHC,KHC
56,"Lam Research, Inc.",LRCX,LRCX
57,Liberty Global (Class A),LBTYA,LBTYA
58,Liberty Global (Class C),LBTYK,LBTYK
59,Lululemon athletica,LULU,LULU
60,"Marriott International, Inc.",MAR,MAR
61,Maxim Integrated Products,MXIM,MXIM
62,MercadoLibre,MELI,MELI
63,Microchip Technology,MCHP,MCHP
64,"Micron Technology, Inc.",MU,MU
65,Microsoft Corporation,MSFT,MSFT
66,Mondelēz International,MDLZ,MDLZ
67,Monster Beverage Corporation,MNST,MNST
68,NetApp,NTAP,NTAP
69,"NetEase, Inc.",NTES,NTES
70,Netflix,NFLX,NFLX
71,NVIDIA Corporation,NVDA,NVDA
72,NXP Semiconductors N.V.,NXPI,NXPI
73,"O'Reilly Automotive, Inc.",ORLY,ORLY
74,PACCAR Inc.,PCAR,PCAR
75,"Paychex, Inc.",PAYX,PAYX
76,"PayPal Holdings, Inc.",PYPL,PYPL
77,"PepsiCo, Inc.",PEP,PEP
78,QUALCOMM Incorporated,QCOM,QCOM
79,Regeneron Pharmaceuticals,REGN,REGN
80,Ross Stores Inc.,ROST,ROST
81,Seattle Genetics,SGEN,SGEN
82,"Sirius XM Radio, Inc.",SIRI,SIRI
83,"Skyworks Solutions, Inc.",SWKS,SWKS
84,Splunk,SPLK,SPLK
85,Starbucks Corporation,SBUX,SBUX
86,"Synopsys, Inc.",SNPS,SNPS
87,T-Mobile US,TMUS,TMUS
88,"Take-Two Interactive, Inc.",TTWO,TTWO
89,"Tesla, Inc.",TSLA,TSLA
90,"Texas Instruments, Inc.",TXN,TXN
91,Trip.com Group,TCOM,TCOM
92,Ulta Beauty,ULTA,ULTA
93,United Airlines Holdings,UAL,UAL
94,VeriSign,VRSN,VRSN
95,Verisk Analytics,VRSK,VRSK
96,Vertex Pharmaceuticals,VRTX,VRTX
97,"Walgreen Boots Alliance, Inc.",WBA,WBA
98,"Workday, Inc.",WDAY,WDAY
99,Western Digital,WDC,WDC
100,"Xcel Energy, Inc.",XEL,XEL
101,"Xilinx, Inc.",XLNX,XLNX
102,Zoom Video Communications,ZM,ZM
